No.,종목코드,종목명,수량(주),평가금액(원),비중(%)
1,US5949181045,MICROSOFT,184.310000,100984582,7.16%
2,US0378331005,APPLE INC,362.560000,88970944,6.31%
3,US67066G1040,NVIDIA,61.240000,64016669,4.54%
4,US0231351067,Amazon.com Inc,225.530000,52405499,3.72%
5,US30303M1027,META PLATFORMS Inc,55.030000,35606557,2.52%
6,US02079K3059,ALPHABET INC-CL A,146.760000,28146189,2.00%
7,US0846707026,Berkshire Hathaway Inc,45.130000,24937843,1.77%
8,US02079K1079,ALPHABET INC-CL C,123.520000,23891352,1.69%
9,US5324571083,Eli Lilly & Co      ,19.760000,20241962,1.44%
10,US11135F1012,BROADCOM INC,10.900000,18931358,1.34%
11,US88160R1014,Tesla Inc,68.590000,18022208,1.28%
12,US46625H1005,JPMORGAN_CHASE,71.710000,17473301,1.24%
13,US91324P1021,UNITEDHEALTH_GROUP,22.930000,16068690,1.14%
14,US92826C8394,VISA INC-CLASS A SHARES,39.530000,14929344,1.06%
15,US30231G1022,EXXON_MOBIL,99.320000,13848739,0.98%
16,US57636Q1040,MASTERCARD -CL A-,20.520000,12879303,0.91%
17,US4781601046,JOHNSON & JOHNSON,59.700000,12749469,0.90%
18,US7427181091,PROCTER & GAMBLE CO,58.450000,12491078,0.89%
19,US4370761029,HOME_DEPOT,24.810000,12262430,0.87%
20,US58933Y1055,Merck & Co,62.840000,10811311,0.77%
21,US22160K1051,COSTCO WHOLESALE CORP,10.970000,10723025,0.76%
22,US00287Y1091,ABBV,43.780000,10299431,0.73%
23,US0079031078,Advanced Micro Devices Inc,40.060000,9696749,0.69%
24,US79466L3024,salesforce Inc,24.120000,9427257,0.67%
25,US1667641005,CHEVRON,43.530000,9005370,0.64%
26,US64110L1061,Netflix Inc,10.840000,8490468,0.60%
27,US9311421039,WAL_MART_STORES,35.370000,8257859,0.59%
28,US00724F1012,ADOBE SYSTEMS INC,11.330000,8106679,0.57%
29,US1912161007,COCA-COLA,96.490000,7853383,0.56%
30,IE00B4BNMY34,Accenture PLC,15.560000,7689963,0.55%
31,US0605051046,BANK OF AMERICA CORP,170.750000,7638485,0.54%
32,US7134481081,PEPSICO INC,34.100000,7636379,0.54%
33,IE000S9YS762,Linde PLC,12.040000,7163763,0.51%
34,US8835561023,THERMO_FISHER_SCIENTIFIC,9.600000,7161717,0.51%
35,US5801351017,MCDONALDS,17.990000,7085712,0.50%
36,US0028241000,ABBOTT LABORATORIES,43.020000,6815039,0.48%
37,US17275R1023,CISCO_SYSTEMS,100.440000,6493111,0.46%
38,US2546871060,THE WALT DISNEY CO,45.380000,6501539,0.46%
39,US9497461015,Wells Fargo & Co,90.050000,6396744,0.45%
40,US4612021034,intuit_inc,6.970000,6103569,0.43%
41,US4581401001,INTEL CORP                    ,104.540000,5980354,0.42%
42,US68389X1054,ORACLE,39.400000,5821519,0.41%
43,US7475251036,QUALCOMM,27.590000,5682774,0.40%
44,US92343V1044,VERIZON COMMUNICATIONS,104.260000,5652104,0.40%
45,US0382221051,APPLIED MATERIALS INC,20.750000,5516193,0.39%
46,US20030N1019,Comcast Corp,99.580000,5554792,0.39%
47,US2358511028,DANAHER,16.340000,5496508,0.39%
48,US3696043013,General Electric Co,26.980000,5446527,0.39%
49,US4592001014,INTL BUSINESS MACHINES CORP   ,22.650000,5553406,0.39%
50,US1491231015,CATERPILLAR INC,12.640000,5418790,0.38%
51,US90353T1007,Uber Technologies Inc,51.030000,5299870,0.38%
52,US81762P1021,ServiceNow Inc,5.070000,5190759,0.37%
53,US0311621009,AMGEN,13.300000,5048341,0.36%
54,US7170811035,PFIZER INC                    ,140.020000,5134400,0.36%
55,US9078181081,UNION_PACIFIC_ORD.,15.150000,5132105,0.36%
56,US8825081040,TEXAS INSTRUMENTS,22.530000,4960820,0.35%
57,US09857L1089,Booking Holdings Inc,0.890000,4622258,0.33%
58,US7181721090,PHILIP_MORRIS_INTERNATIONAL,38.490000,4671681,0.33%
59,US78409V1044,S&P Global Inc,8.030000,4651600,0.33%
60,US46120E6023,Intuitive Surgical Inc,8.740000,4526144,0.32%
61,US20825C1045,ConocoPhillips,29.440000,4397300,0.31%
62,US4385161066,HONEYWELL INTERNATIONAL INC.,16.340000,4367324,0.31%
63,US5486611073,LOWE'S COS INC,14.320000,4393502,0.31%
64,US38141G1040,GOLDMAN_SACHS_GROUP,8.080000,4199301,0.30%
65,US6541061031,NIKE INC CL B,30.350000,4244795,0.30%
66,US75513E1010,Raytheon Technologies Corp,35.650000,4248211,0.30%
67,US0258161092,AMERICAN_EXPRESS,14.270000,4064391,0.29%
68,US5128071082,Lam Research Corp,3.270000,4110204,0.29%
69,US74340W1036,PROLOGIS INC REIT,22.910000,4069013,0.29%
70,US00206R1023,AT AND T,177.310000,3915233,0.28%
71,US0367521038,ELEVANCE HEALTH INC,5.850000,3987934,0.28%
72,US8636671013,STRYKER CORP,8.410000,3953058,0.28%
73,IE00B8KQN827,EATON CORP PLC,9.930000,3761245,0.27%
74,US09247X1019,BLACKROCK INC,3.500000,3789410,0.27%
75,US0970231058,BOEING,14.090000,3778888,0.27%
76,US65339F1012,NEXTERA ENERGY INC,50.880000,3837764,0.27%
77,US8725401090,TJX_COS,28.380000,3743759,0.27%
78,IE00BTN1Y115,Medtronic Plc,32.990000,3734958,0.26%
79,US7433151039,PROGRESSIVE CORP,14.540000,3709726,0.26%
80,US8552441094,STARBUCKS CORP,28.330000,3611598,0.26%
81,US92532F1003,Vertex Pharm        ,6.410000,3641163,0.26%
82,US0530151036,Automatic Data Processing Inc,10.240000,3472236,0.25%
83,US1729674242,CITIGROUP INC,47.460000,3531161,0.25%
84,US6174464486,Morgan Stanley,31.340000,3581107,0.25%
85,US9113121068,UNITED PARCEL SERVICE-CL B    ,17.940000,3575273,0.25%
86,CH0044328745,Chubb Ltd,10.110000,3437305,0.24%
87,US1101221083,Bristol Myers Squibb,50.450000,3446755,0.24%
88,US5717481023,Marsh & McLennan Cos Inc,12.240000,3327689,0.24%
89,US6092071058,MONDELEZ INTERNATIONAL INC,33.720000,3327052,0.24%
90,US75886F1075,Regeneron Pharm Inc  ,2.660000,3416154,0.24%
91,US1011371077,Boston Scientific,36.310000,3225451,0.23%
92,US1255231003,CIGNA CORP,7.250000,3301758,0.23%
93,US1266501006,CVS HEALTH CRP,31.850000,3268450,0.23%
94,US8085131055,Charles Schwab Corp/The,36.920000,3175951,0.23%
95,US0326541051,Analog Devices Inc,12.360000,3157142,0.22%
96,US2441991054,DEERE AND CO,6.640000,3153164,0.22%
97,US4824801009,KLA-TENCOR CORP,3.400000,3094332,0.22%
98,US5398301094,LOCKHEED_MARTIN,5.470000,3122563,0.22%
99,US5951121038,Micron Technology Inc,27.240000,3114790,0.22%
100,US03027X1000,American Tower Corp,11.580000,2897794,0.21%
101,US09260D1072,Blackstone Group Inc/The,17.640000,2988621,0.21%
102,US3377381088,Fiserv Inc,14.870000,2970972,0.21%
103,US3755581036,GILEAD_SCIENCES,30.910000,2994257,0.21%
104,US8716071076,Synopsys Inc,3.780000,2922612,0.21%
105,US98978V1035,Zoetis Inc,11.380000,2978765,0.21%
106,US1273871087,Cadence Design Systems Inc,6.770000,2753451,0.20%
